child_id,episode_number,start_date,end_date,placed_with_relative_this_rem_ep,county_of_initial_removal,n_contacts_in_rem_ep,n_visits_in_rem_ep
10000017367,1,2008-03-12,2012-08-21,t,Cass,0,6
10000017424,1,2010-06-27,2010-08-24,t,,0,3
10000017602,1,2008-04-08,,,Marion,,
10000017786,1,2003-09-12,2008-07-30,t,Henry,0,18
10000017800,1,2011-05-16,2011-06-08,t,Floyd,0,2
10000017809,1,2012-01-03,2012-01-06,f,Knox,0,0
10000017809,2,2012-01-06,,,Knox,,
10000017819,1,2011-05-14,2011-05-17,f,Allen,0,0
10000017847,1,2011-05-12,2012-06-19,t,Henry,0,0
10000017929,1,2009-05-07,2010-08-02,f,Scott,0,8
10000017929,2,2012-06-29,,,Floyd,,
10000018010,1,2012-04-18,,,Delaware,,
10000018162,1,2011-12-13,,,Knox,,
10000018256,1,2007-08-28,2008-03-03,f,Vermillion,0,15
10000018263,1,2004-02-27,2009-12-15,t,Henry,0,59
10000018290,1,2008-02-21,2009-08-12,f,Knox,0,0
10000018317,1,2008-02-22,2009-01-01,f,Ripley,0,10
10000018317,2,2011-03-11,2011-09-26,f,Dearborn,0,9
10000018359,1,2005-07-19,2008-09-03,t,Lake,0,11
10000018363,1,2011-05-17,2011-10-12,f,Madison,0,0
10000018379,1,2009-08-30,2010-07-02,f,Floyd,0,11
10000018379,2,2010-07-11,2010-12-30,f,Washington,0,12
10000018459,1,2007-11-26,,,Lake,,
10000018589,1,2004-08-26,2011-08-31,f,Marshall,0,2
10000018656,1,2002-06-25,2011-01-21,t,Henry,0,135
10000018763,1,2009-08-31,2010-04-12,f,Parke,0,24
10000018790,1,2010-12-28,,,Dearborn,,
10000018801,1,2008-02-22,2009-01-01,f,Ripley,0,14
10000018815,1,2005-09-06,2008-06-17,f,Cass,0,5
10000018833,1,2009-09-11,2010-07-09,t,Knox,0,8
10000018833,2,2011-06-08,2011-11-16,f,Scott,0,3
10000018945,1,2007-09-30,2008-11-05,t,Johnson,0,11
10000018955,1,2008-07-18,2009-01-21,f,Marion,0,8
10000019006,1,2005-12-05,2009-08-18,t,Franklin,0,52
10000019039,1,2009-09-10,2010-07-28,f,Lake,0,5
10000019133,1,2012-01-29,,,Knox,,
10000019168,1,2008-02-22,2009-01-01,f,Ripley,0,14
10000019173,1,2009-10-21,,,Howard,,
10000019204,1,2001-11-29,2010-04-06,t,St. Joseph,0,22
10000019315,1,2011-12-21,2012-08-07,f,Lake,0,1
10000019347,1,2009-09-11,2010-07-09,t,Knox,0,12
10000019347,2,2011-06-08,2011-11-16,f,Scott,0,10
10000019446,1,2011-08-05,2012-05-17,f,Marion,0,3
10000019500,1,2010-05-06,2011-08-17,f,Lake,0,2
10000019526,1,2009-09-11,,,Hamilton,,
10000019533,1,2008-07-24,2009-05-08,f,Lake,0,0
10000019567,1,2008-07-18,2009-05-01,f,Marion,0,17
10000019705,1,2008-02-22,2009-01-01,f,Ripley,0,13
10000019709,1,2007-09-30,2009-08-03,t,Elkhart,0,4
10000019767,1,2009-12-18,,,St. Joseph,,
10000019770,1,2011-05-26,2012-03-19,t,Gibson,0,4
10000019878,1,2004-02-24,2009-07-30,f,Wayne,0,4
10000019897,1,2012-03-12,,,Bartholomew,,
10000019971,1,2008-07-24,2010-10-15,t,Lake,0,21
10000019998,1,2006-08-17,2008-02-27,f,Henry,0,2
10000019998,2,2011-04-15,,,Rush,,
10000020090,1,2005-02-16,2011-12-21,f,Out of State,0,10
10000020121,1,2010-04-20,2011-06-13,f,Lake,0,0
10000020151,1,2010-02-05,2011-01-27,f,Wabash,0,6
10000020151,2,2011-03-17,,,Marshall,,
10000020167,1,2007-11-26,2010-10-04,t,Greene,0,1
10000020223,1,2010-10-08,2011-04-27,t,Sullivan,0,3
10000020306,1,2007-06-26,2008-04-23,t,Marion,0,0
10000020326,1,2006-03-15,2009-08-14,f,Lake,0,1
10000020326,2,2009-08-14,2010-01-23,f,,0,1
10000020363,1,1998-01-30,2011-04-25,f,Lake,0,5
10000020395,1,2011-08-05,,,Marion,,
10000020408,1,1999-06-28,2008-08-05,f,Clark,0,4
10000020507,1,2008-09-18,2009-09-15,f,Vigo,0,0
10000020606,1,2005-04-25,2008-03-24,f,Ripley,0,0
10000020637,1,2007-02-19,2009-07-28,f,Marion,0,4
10000020637,2,2011-02-07,,,Marion,,
10000020639,1,2007-04-24,,,Tippecanoe,,
10000020703,1,2008-09-14,2009-06-03,t,Allen,0,0
10000020789,1,2009-07-23,,,Allen,,
10000020874,1,2007-11-26,2012-03-26,t,Greene,0,40
10000020917,1,2009-11-02,2011-06-16,f,Allen,0,0
10000020973,1,1999-01-27,2008-04-23,t,DeKalb,0,25
10000021043,1,2011-10-19,2012-05-15,t,Floyd,0,0
10000021129,1,2008-05-13,2009-11-10,f,Lake,0,0
10000021146,1,2007-08-22,2008-10-30,f,Marshall,0,2
10000021225,1,2011-08-22,,,Marion,,
10000021227,1,2008-09-05,2009-10-13,f,Vigo,0,9
10000021271,1,2010-06-18,2010-10-28,t,Noble,0,0
